,course,institution,url,admission req,language req,deadline
0,Graduate College: The Economics of Innovative Change,Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3882/,"To apply for this programme, you must hold either a ""Diplom"" or an MA/MSc in Economics or Business (incl. Finance). Therefore, you should have finished your MA before you apply. A Bachelor's degree or a diploma from a university of applied sciences does not meet the requirements for this programme.
For further information, please visit https://www.gkwiwi.uni-jena.de/PhD+Application.html.","Fluent written and spoken English is required. As an orientation, language level C1 or higher of the Common European Framework of Reference (CEFR) is recommended. Proof of formal language knowledge is not necessary. Language proficiency will be judged in your application and subsequent interviews.",Any time
1,GRK 2300 Enrichment of European Beech Forests with Conifers,University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5209/,"The acceptance and supervision of associate members is subject to the same criteria and requirements as for doctoral researchers funded by RTG funds.
By the time of appointment, the successful candidate must have already completed a very good MSc degree (minimum 2.0 on the German grade scale or equivalent) in ecological sciences, biological sciences, forest sciences, or a related field. Furthermore, the candidate must be willing to collaborate in larger teams and travel to field sites. Fluency in English is required as well as the willingness of foreign applicants to learn some German. Further admission requirements can be found on the homepage of the Graduate School Forest and Agricultural Sciences (GFA): http://www.uni-goettingen.de/en/application+and+enrolment/532016.html.
To apply, students need to find a professor at the University of Göttingen who is willing to supervise their research. This research must be related to the research focus of the RTG 2300. If you are interested, please contact the scientific coordinator, Serena Müller.","Very good proficiency in English is required. Applicants must provide proof of their English skills.
English: TOEFL: iBT at least 81 points; IELTS: band 6; or Cambridge English Scale: min. 160 points","The third cohort of PhD students funded by the DFG (""Deutsche Forschungsgemeinschaft"" or German Research Foundation) will begin in October 2023. Therefore, a call for applications will be published on our website and on the website of the university at the end of 2022 or at the beginning of 2023. Please check our website for more information.
PhD students with their own funding for at least three years can apply to the professors involved in our RTG (research training group) and ask for supervision and admission."
2,Helmholtz Interdisciplinary Graduate School for Environmental Research,Helmholtz Centre for Environmental Research - UFZ,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4020/,"Exceptional Master's degree in a discipline relevant to environmental research (natural, social, or engineering sciences)","Excellent English skills are a prerequisite. A basic level of German may be beneficial, depending on the specific project.","Applications for open PhD positions are possible throughout the year. For more information, please see http://www.higrade.de/admission. For open PhD positions please see here.
You are welcome to contact our International Office for additional information and support when starting at the UFZ: International Office"
3,International Graduate School for Dynamics in Logistics (IGS),University of Bremen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4106/,"The IGS addresses early-stage researchers from all over the world who hold a Master's degree equal to a German university level degree (""Master"" or ""Diplom"", with thesis) in one of the following fields:
Production Engineering
	Industrial Engineering
	Economics
	Electrical Engineering
	Physics
	Computer Science
	Mathematics
	Law

The applicant must have graduated with exceptionally good marks. The decisive element of the application is the preliminary research proposal, which should describe a research question, research methods and literature references. A research plan is mandatory as well. Application documents will be evaluated with regard to the applicant's qualification for doctoral studies at the University of Bremen. Additionally, the proposed topic should fit the research spectrum of LogDynamics.
The complete application guideline is available online at http://www.logistics-gs.uni-bremen.de/173.html?&L=1.","Candidates should have a very good command of English and be familiar with basic German.
Minimum requirements (English):
TOEFL: 600 points on the written TOEFL, 250 on the computer-based TOEFL and 95 on the TOEFL iBT. All of them are to be supplemented by results of the Test of Written English (academic TWE). The minimum required score is 5.0.
IELTS: Band 7.0, with a minimum of 6.0 for each (academic) module
Note: Test results may not be older than 24 months.
Candidates who obtained a degree of higher education in an English-speaking country are not required to present test results.",It is possible to apply at any time.
4,International Max Planck Research School on Earth System Modelling (IMPRS-ESM),Max Planck Institute for Meteorology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6241/,"A Master's degree (including a written thesis) or a comparable academic qualification in the broad field of Earth System Sciences: physics, geophysical sciences (including meteorology and oceanography), chemistry, ecology, mathematics, computer science, engineering, economics, or political science
Since the programme focuses strongly on numerical simulations, candidates with computer literacy (e.g., Unix environment, FORTRAN programming or other programming languages) will be given priority.","The IMPRS-ESM offers an English PhD programme. Applicants must possess a high level of proficiency in written and oral English. Language skills can be demonstrated in the quality of the application documents and during the interview.
Some basic knowledge of the German language is recommended. German language classes are organised and partly financed via the IMPRS-ESM.",The annual call for applications opens 1 July and ends 15 September. Online registration is required prior to application. (https://mpimet.mpg.de/en/science/imprs-esm/how-to-apply)
5,Jena Schumpeter Center for Research on Socio-Economic Change (JSEC),Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3982/,Master's degree (or equivalent),Good English skills,"JSEC
Bachstraße 18k
07743 Jena
Germany
jsec@uni-jena.de"
6,"Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste",Technische Universität Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4534/,"Applicants are required to have basic knowledge in undergraduate level physics, chemistry and mathematics, with a Bachelor's degree in one of the following fields:
engineering
	natural sciences
	social sciences
	or closely related field

All applicants are also required to have a research-based Master's degree related to environmental resources management. Experience related to the Resource Nexus will be considered an asset.
Important note: The applicant needs a final grade (in the Master's) of 2.5 or better (German grading system) to meet the minimum requirement of a successful application.
UNU is committed to diversity and inclusion within its workforce and encourages all candidates, regardless of gender, nationality, religious and ethnic backgrounds, including persons living with disabilities, to apply and become part of the organisation.","As the programme is offered in English, applicants who are not native English speakers have to demonstrate proficiency in English. Recognised tests are as follows:
IELTS: required level is 7.0
	TOEFL: required level for paper-based test is 600 points and internet-based test is 100 points

If the medium of instruction of previous university degrees is English, supporting evidence will be required.",Please see https://flores.unu.edu/en/education/phd-program for current information.
7,PhD Programme in Epidemiology,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4786/,"Very important: Declaration of consent for the application procedure
The Helmholtz Centre for Infection Research (HZI) takes the protection of personal data very seriously [according to the European General Data Protection Regulation (GDPR)]. Please refer to our privacy statement for further information: https://www.helmholtz-hzi.de/en/service/data-protection/.
If you wish to apply or have already applied via e-mail, please enclose a declaration of consent (see homepage) with your application.
Without this consent, we cannot consider/pursue your application any further, and all documents already sent will be deleted immediately.
Prerequisites for application:
Please attach the declaration of consent for the application procedure when contacting us for the first time (see note above).
	University degree (Master's degree or equivalent) in the area of medicine, dentistry, veterinary medicine, pharmacy, natural science, or in another subject area with a biomedical or health-relevant focus 
	Fluency in English, written and spoken
	Knowledge and prior experience in the area of epidemiological methods and statistics equivalent to a degree like MSE, MSc Epidemiology, MPH, or MSAE. In individual cases, when such a formal degree is lacking, successfully passed courses in the field of statistics and epidemiology with 120 contact hours and/or 10 ECTS can also be acknowledged.
	Submission of complete application documents (via e-mail), including a CV (listing academic degrees), a motivational letter, the Bachelor and Master's certificates including corresponding transcripts (in original language and English translation)
	Submission of a research proposal (use the Application Exposé template – see website) that preferably addresses one of the listed research areas, see website
	Funding: Financial framework that allows execution of the PhD project (e.g. by third-party project funding)
	Successful presentation of the project to the PhD programme commission.
",Excellent English language skills required: Fluent written and spoken English is a prerequisite of being accepted to the programme.,"Technical equipment:
PC or laptop
	Internet connection
	Headset
	Camera

Platforms (amongst others):
Zoom
	Pexip

 "
8,PhD Programme in Heritage Studies,Brandenburg University of Technology Cottbus-Senftenberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8350/,"MSc (or equivalent) in Heritage Studies, Architecture, Building and Conservation, Urban/Regional Planning, or a related field in Social Sciences, Law and Political Science with a final grade of at least 2.3 according to the German grading system, including a Master's thesis
The application includes a comprehensive PhD proposal. We have a guideline on how to draft a PhD proposal on our website.","A certificate of proficiency in English must be provided except for graduates of English language Master's programmes in Germany and these countries.
Accepted tests and minimum scores include:
TOEFL with a minimum score of 550 points (paper-based), 213 points (computer-based), or 79 points (Internet-based)
	Cambridge Advanced English test (minimum grade B)
	Cambridge Certificate of Proficiency (minimum grade C)
	IELTS Academic (minimum 6.5)
","Applications are welcome throughout the year. For a start in the summer semester (1 April), submission of the complete application online is recommended no later than 1 November; for a start in the winter semester (1 October), submission is recommended no later than 1 May."
9,RTG 2654: Sustainable Food Systems,University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7645/,"Successful candidates will have an outstanding Master’s degree (or equivalent) in food and agricultural economics, development economics, general economics, sustainability studies, (food) marketing, or related social sciences disciplines, strong analytical skills, experience with relevant statistical methods, proven interest in topics related to sustainable food systems, strong computer skills, and excellent command of the English language. We also expect successful candidates to be active team players in the RTG. Experience with data collection in an international context will be a plus.",English only,"The deadline for the second cohort will be around January or February 2024. Please check our website for more information. https://www.uni-goettingen.de/de/635183.html
PhD students with their own funding (e.g. DAAD) can join at any time."
