,course,institution,url,admission req,language req,deadline
0,Advanced Computational Methods in Civil Engineering,RWTH Aachen University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/,"One of the prerequisites for studying this Master's degree programme is a first university degree, which proves the necessary background education.
Applicants must have a profound knowledge in following areas:
Mathematical-physical basics (38 CP):
mathematics: 16 CP
	statistics: 3 CP
	mechanics: 16 CP
	hydromechanics: 3 CP

Civil engineering basics (80 CP), from two of the fields at least 20 CP each:
constructive engineering
	water management
	construction operations and geotechnics
	transportation

The examination board may admit a student to a Master's course of study on the condition that they obtain additional qualifications. Proof of completion of such additional requirements must be provided before registering for the Master's thesis.
Admission to the Master's programme civil engineering is not possible if your additional requirements exceed the CP listed below:
mathematical-physical basics: 9 CP
	civil engineering basics: 26 CP
	the total scope of all additional requirements: 30 CP

In addition to the subject-related prerequisites, applicants must show proof of a profound level of the English language (see below).
In addition, proof of the Graduate Record Examination (GRE) General Test is required. Applicants who are nationals of a member state of the European Union or of the European Economic Area as well as applicants who have successfully passed the German ""Abitur"" (regardless of where they have earned their Bachelor's degree) are exempt from this requirement.","Applicants must show proof of a profound level of the English language, at least equivalent to the B2 level of the Common European Framework of Reference for Languages (CEFR).
The following language tests are accepted as proof of English language skills:
Test of English as Foreign Language / TOEFL, Internet-based test iBT, with at least 90 points
	International English Language Testing System, IELTS, with a grade of at least 5.5
	Certificate of Advanced English CAE
	First Certificate in English FCE, with a grade of at least B
	Any official certificate that certifies English language skills at level B2 of the Common European Frame of Reference for Languages, CEFR
	Placement test of the RWTH Aachen Language Center at the B2 level (This language certificate can only be obtained by individuals who are already enrolled as students at RWTH Aachen.)
","EU/EEA applicants: 15 July for the following winter semester and 15 January for the following summer semester
Non-EU / non-EEA applicants: 1 March for the following winter semester and 1 September for the following summer semester"
1,Applied Computer Science (MSc),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4700/,"As a requirement for admission to the Master's degree programme, the applicant must have completed at least a six-semester degree programme with conferral of a Bachelor's degree in a degree programme in ""Computer Science"", or in a closely related discipline comprising at least 180 ECTS credits. The conferral of an equivalent degree earned in a degree programme completed at a German university or a university situated in one of the Bologna signatory states also meets the requirements for admission.
As prerequisite for the appropriateness of past academic achievements, proof of at least 90 credits in computer science, applied computer science, foundations in mathematics, and foundations in natural science must be furnished. It is necessary to provide proof of at least 60 credits in computer science and applied computer science and at least 15 credits in the foundations of mathematics and natural science.","English-language skills must be demonstrated by the minimum passing grade in an internationally recognised test, or by equivalent proof. The test may not be taken later than two years prior to submission of the application for admission to the Master's degree programme (date received).
Detailed information is given here: https://www.uni-goettingen.de/en/630842.html","Non-EU applicants: 15 April for the following winter semester and 15 October for the following summer semester
EU applicants: 15 June for the following winter semester and 15 December for the following summer semester"
2,Applied Data Science (MSc),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7641/,"A Bachelor’s degree with at least 180 ECTS is needed. If the degree has not yet been awarded, a minimum of 135 ECTS is required for application.
At least 60 ECTS have to have been successfully completed in the area of data science, computer science, statistics, mathematics or a related field. This requirement should normally be fulfilled by a Bachelor’s degree in data science, computer science, statistics, mathematics or a closely related degree programme.
Graduates from other fields can be eligible as well; 15 ECTS of the above requirements can be completed after admission, i.e. the minimum requirement for application is 45 ECTS.","English language proficiency at level C1 (CEFR) has to be proven. Alternatively, a proof of English language proficiency at level B2 (CEFR) is accepted in combination with a proof of German language proficiency equivalent to DSH level 2.
The language proficiency has to be verified by a minimum passing grade on an internationally recognised test or by equivalent proof. The test may not be taken later than two years prior to submission of the application for admission to the Master's degree programme (date received). For details on possible verifications, see: https://www.uni-goettingen.de/en/630842.html.","
	1 May for applications for the winter semester
	
	
	1 November of the preceding year for applications for the summer semester
	
"
3,Applied Research in Computer Science (MSc),Hof University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6236/,"Bachelor's degree in computer science, media informatics, mobile computing or business information systems, or comparable study programmes (Please note: electrical engineering is NOT in compliance with the requirements.)
	Above average grades in object-oriented programming, software engineering, computer networks and databases
	Written application that includes your Bachelor's thesis, a certification about an internship or practical work of at least 18 weeks, and a two-page literature review about a scientific topic of one of the iisys research groups
	Oral exam with questions and discussion of a case study presented by you (can be done via video chat)

Please check our website for further information on the admission requirements and the list of our research topics for project work.","Applicants must be proficient in English. This can be proven with one of the following:
TOEFL minimum 90 (Test of English as a Foreign Language)
	IELTS 6.5 or above (International English Language Testing Systems)
	confirmation that the Bachelor's programme was taught completely in English language

In addition: Basic language skills in German, proven by official test score documents – minimum level A1 according to CEFR (Common European Framework of Reference for Languages)","Our application portal is open during the following application periods:
5 November – 30 November for the following summer semester
	15 April – 31 May for the following winter semester
"
4,Artificial Intelligence,Brandenburg University of Technology Cottbus-Senftenberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8322/,"Admission requirements include a first qualifying degree (at least a Bachelor's degree) or a qualification equivalent to this in a programme closely related to computer sciences, such as artificial intelligence or mathematics with a focus on computer sciences. The theoretical, applied, and technical computer science and mathematics degree programmes should be comparable to the Bachelor's programme in Artificial Intelligence offered at BTU.","A certificate of proficiency in English must be provided. Accepted tests and minimum scores include:
a TOEFL certificate, minimum score of 79 points (iBT)
	an IELTS certificate, minimum 6.0
	a Cambridge Certificate in Advanced English (minimum grade B)
	a Cambridge Certificate of Proficiency in English (minimum grade C)
	a UNIcert certificate, minimum grade II

Applicants with a higher education entrance qualification from Australia, Canada, Ireland, New Zealand, Great Britain including Northern Ireland, or the United States of America do not have to submit separate proof of English language skills. Applicants who completed a secondary level degree in English in Germany or in one of the above mentioned countries are also exempted from presenting a formal English language certificate.
Applicants who have acquired their higher education entrance qualification in Germany or at a German school abroad can also submit a certificate of higher education entrance qualification that shows English language skills at least at level B2 of the Common European Framework of Reference for Languages (CEFR). This proof can be provided, for example, by presenting an A-level certificate with corresponding confirmation from the school or by providing a document issued by the Ministry of Education in the respective federal state. This certificate must confirm that the required level of English (minimum of B2/CEFR) has been achieved.
German language skills are not required for admission to this study programme.","Applicants who require a visa: 15 July for the following winter semester and 15 January for the following summer semester
	Applicants who don't require a visa: 31 August for the following winter semester and 1 March for the following summer semester
"
5,"Artificial Intelligence (AI), MSc",FAU Erlangen-Nürnberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7657/,"Application documents
Your curriculum vitae (CV)
	Your letter of motivation (VERY IMPORTANT: Please tell us WHY you chose to apply for the AI Master's programme at FAU.)
	Your secondary school leaving certificate (and an English translation of your high school certificate)
	university entrance exam (if available, e.g. Iran)
	Your university certificates (and an English translation thereof) are required. In case you do not have your Bachelor's degree at the time of applying to FAU, we need a confirmation from your university that you will soon receive your Bachelor's degree.
	The international transcript (grades sheet) of the courses you have attended
	TOEFL score report (OR other proof of English – In case your Bachelor's was in English, a confirmation of the university is sufficient.)
	APS certificate (China)
	Any certificates of English or German language courses you have taken part in
	GRE is not mandatory, but if you have a certificate it is very helpful.

All applicants should meet the following criteria:
Completion of an excellent Bachelor's degree or a corresponding qualification in computer science, in a related scientific or technical field, or in mathematics
	Proficiency and experience in both using and programming computers is required. Besides familiarity with the basic concepts of computers and computer science, we expect that you have solid programming experience.
	A well-rounded education in mathematics
	International Students
	A solid command of the English language is required, which can be proven with a TOEFL score of at least 560 or an equivalent qualification, e.g. confirmation of the university that the Bachelor's programme had been taught in English.
		Students should be interested in a stay in Germany for at least two years.
	
","Due to its international orientation, most courses of the Master's programme are offered in English. A language proficiency certificate of at least B2 level (CEFR) is needed for successful participation. Some courses and examinations may be offered in German. The Master’s thesis has to be written in English.","The application for the Master's programme is possible for the summer and winter semester. Please note that you can only apply once the application period for the respective semester has started! You can find details here. The current application periods are as follows:
17 December to 15 January (applicants for the summer semester)
	12 April to 15 July (applicants for the winter semester)
"
6,Artificial Intelligence (MSc),University of Applied Sciences Würzburg-Schweinfurt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7852/,"Entitled to admission to the Master's programme in Artificial Intelligence are persons with very good or good skills and knowledge in the area of computer science documented through a relevant practice-oriented qualification based on science.
The qualification shall be attested by a completed higher education degree of 210 credit points in accordance with the European Credit Transfer and Accumulation System (ECTS, hereinafter referred to as ECTS credits) and an overall grade of 2.5 or higher in the fields of computer science, business informatics, robotics, mechatronics, mathematics or a related field of study completed at a German higher education institution or equivalent.
Every qualification must be checked individually, depending on the educational background of each student. For more information, please visit our website:
https://international.fhws.de/en/fhws-international/ways-to-fhws/incoming-full-time-students/admission-requirements/","A solid knowledge of the English language at level B2 (CEFR) is required for participation. Applicants with an English-language university entrance qualification are considered to have the necessary language skills. Applicants with a German-language university entrance qualification must provide evidence of English language skills at level B2 (CEFR) on the basis of the university entrance qualification or a certificate within the scope of the application.
To ensure linguistic flexibility when communicating with other students and living in Germany, German language skills at level A2 are recommended. This must be proven by a corresponding certificate within 12 months after the start of the degree programme.",15 January for the following summer semester
7,Automotive Software Engineering,Chemnitz University of Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4122/,"A Bachelor's degree in one of the following:
Applied Computer Science
	Computer Science
	Computer Science & Engineering
	Information Science & Engineering
	Information Technology
	Computer Engineering
	Computer Hardware
	Electronics & Communication Engineering (with significant selection of computer science lectures)
	Computer & Communication Engineering (with significant selection of computer science lectures)
	Electronics & Telecommunication Engineering (with significant selection of computer science lectures)
","German:
Courses to obtain the required level of German language (A2 by the end of the third semester) are included within the curriculum for non-native speakers. Students providing a certificate of A2 level (CEFR) may choose advanced language courses or subject studies.
English:
IELTS from 5.5
	TOEFL iBT (Internet-based Test): min. 72 points
	TOEFL PBT: min. 543 points
	TOEFL ITP Level 1: min. 543 points
	Cambridge Preliminary English Test + Result Distinction (PET)
	Cambridge First Certificate in English: Grade B or C (FCE)
	Cambridge English: Business Vantage (BEC Vantage), Legal (ILEC), Financial (ICFE)
	Cambridge IGCSE: 1st or 2nd Language on average B2
	Pearson PTE Academic: min. 59 points
	TOEIC: Listening and Reading Test min. 785 points, Speaking Test min. 160 points, Writing Test min. 150 points
	telc B2-Zertifikat
	UNIcert II
	Study in English studies
	completed degree with English as the language of instruction
	Translator or interpreter degree

Applicants from countries with English as the official or native language are not required to submit a proof of English language proficiency with their applications.","15 July for the following winter semester
15 January for the following summer semester"
8,Autonomous Systems (MSc),Hochschule Bonn-Rhein-Sieg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/,"For admission to the programme, a professional academic degree (Bachelor's or equivalent) is required in the areas of computer science, mathematics, natural sciences, or engineering.
Another requirement is sufficient knowledge of concepts, methods and tools in the field of computer science. Such knowledge is usually acquired in a four-year computer science course with at least 65% computer science content. Programme applicants who have already graduated from a first-level degree course in mathematical/scientific subjects or engineering can be admitted to the programme provided that the course had a computer science content of, as a rule, at least 50%. They may also have to perform additional assignments, to be specified on an individual basis, worth up to 12 ECTS credits. Admission is based solely on credentials and academic excellence.","The TOEFL, IELTS or Cambridge Certificate for English language proficiency is required for all candidates who meet any of the following criteria:
Candidates who do not have English as the de facto language in their country (i.e. countries other than Australia, Bahamas, Canada, New Zealand, UK, and USA)
	Citizens of Australia, Bahamas, Canada, New Zealand, UK, and USA whose first language is not English (i.e. those who have lived in countries other than those mentioned here and who have not obtained a school diploma that conforms to one of the national certificates of these countries - e.g. high school diploma, IB diploma, A-levels, and so on).

Exemptions are granted to applicants who meet any of the following criteria:
Candidates who have earned a Bachelor's degree from universities in Australia, the Bahamas, Canada, New Zealand, UK, and US
	Candidates who have earned degrees from English-language degree programmes in Germany

The minimum required language skill level is upper B2 according to the Common European Framework of Reference for Languages. This currently corresponds to a TOEFL score of 79 or higher for the Internet-based test and to an IELTS score of 6.5. Scores must be submitted from a test taken within the last 24 months. The TOEFL code for the university is 7977 (""Fachhochschule Bonn-Rhein-Sieg"").","There are two semesters per year, winter (starts the first week of September) and summer (starts the first week of March).
The application windows for both semesters open the year before the semester starts: for the winter semester, it opens on 15 November, and for the summer semester, it opens on 15 May.
The deadlines are as follows:
For international students requiring a visa to study in Germany:
For the winter semester: 15 January of the same year in which the semester starts
For the summer semester: 15 July of the year before the semester starts
For students who do not require a visa to study in Germany:
For the winter semester: 15 August of the same year in which the semester starts
For the summer semester: 15 February of the same year in which the semester starts"
9,Cognitive Science (MSc),Osnabrück University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3614/,"Applicants must have a Bachelor's degree in cognitive science (or a comparable degree) in order to study cognitive science in the Master's programme at Osnabrück University.
Applicants with a Bachelor's degree (or comparable degree) in artificial intelligence, biology, computer science, (computational) linguistics, mathematics, neurosciences, philosophy or psychology may be admitted to the Master's programme.","Students are required to have a good command of English from the beginning of their studies in order to understand lectures, participate in discussions and take examinations. Proficiency in English is to be proved through a passed IELTS exam (with at least 5.0 points) or by equivalent certificates of qualification. Written confirmation of eight years of English at school with an average mark of at least 3.0 according to the German marking system (or an equivalent mark) from the two final school years also suffices to meet the requirements.","Applicants with a Bachelor's degree (or equivalent) from a German university:
15 July (winter semester)
	15 January (summer semester) directly to Osnabrück University

Applicants with international degrees (application via uni-assist):
15 July (winter semester)
	15 January (summer semester)

(For details on the application procedure, please consult our website.)"
10,Cognitive Systems (MSc),University of Hildesheim Foundation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8443/,"Students with a Bachelor's degree in Computer Science, Information Technology, Artificial Intelligence, Psychology, or a related field are eligible to apply. Generally, students with strong analytical and conceptual skills are most suited for this programme.
Eligible admissions are prioritised according to the following criteria:
cumulative grade of your Bachelor's degree (53%)
	amount and marks of Bachelor's courses related to Cognitive Systems (incl. mathematics and programming, 35%)
	prior research activities in Cognitive Systems or related fields (6%)
	prior practical activities in Cognitive Systems or related fields (6%)
","English language proficiency is required to pursue the Master's programme in Cognitive Systems. Sufficient knowledge of English can be demonstrated by a certificate (TOEFL computer-based test score of 61 or above, IELTS band of 6 or above, or an equivalent certificate) or a German ""Abitur"".","Non-EU applicants: 30 June for the following winter semester
EU applicants: 31 August for the following winter semester
Non-EU applicants: 15 December for the following summer semester
EU applicants: 15 February for the following summer semester"
11,Communication Systems and Networks (Master of Science),TH Köln (University of Applied Sciences),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/,"Successful applicants are required to have obtained a recognised undergraduate degree in a suitable scientific or technological field with at least 210 credits in accordance with the European Credit Transfer System (ECTS) and a final cumulative grade of 2.3 or better in the German grading system or equivalent.
A degree programme is deemed suitable if it teaches competencies in the fields of mathematics, physics, electrical engineering and computer science comprising a total of at least 110 credits.
If applicants do not meet 210 ECTS, they can only be admitted under the condition that they will be able to attest to the missing prerequisites before registering for the Master's thesis by having successfully completed specific courses offered in Bachelor's programmes. The nature and scope of these conditions are individually determined by the examination board based on the courses completed by the applicant in his/her undergraduate programme. Admission to the Master's programme will be denied if the applicant has obtained a final cumulative grade of worse than 2.3.","The predominant language of instruction in the Master's programme is English. Applicants therefore need to meet one of the following requirements:
a) IELTS with 6 points
b) An alternative language test with a test score equivalent to IELTS
c) Prior enrolment in a university programme conducted entirely in the English language. Note: although a language certificate is not required in this case, it is nevertheless advantageous for the application.
d) English as mother tongue
Students may provide evidence of their English language proficiency within the first semester of the Master's programme.
When choosing the profile which includes German-language modules, students must additionally submit proof of the German Language Proficiency Test for Admission of Foreign Students (DSH first level) if they have not obtained their higher education entrance qualification at a German-language institution.","Application deadline uni-assist: 31 March for the following winter semester and 31 October for the following summer semester
Please also check the ""How to Apply"" section of the individual TH Köln programme websites: http://www.th-koeln.de/programs."
12,Communications Engineering – Master's Study Programme,RWTH Aachen University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/,"1. In order to apply to the RWTH Master's programme in Electrical Engineering, Information Technology, and Computer Engineering with a specialisation in Communications Engineering, applicants should have completed their basic studies (Bachelor of Science or Engineering or an equivalent academic degree) at an internationally recognised university. The basic study should fulfil both the subject requirements listed below and those listed in detail on the homepage of the Faculty of Electrical Engineering and Information Technology (https://bit.ly/2FaAyk7).
at least 28 ECTS credits for advanced mathematics
	at least 10 ECTS credits for physics and physical principles of electronic devices
	at least 34 ECTS credits for fundamentals of electrical engineering including circuit technology
	at least 12 ECTS credits for informatics (computer science) and programming
	at least 8 ECTS credits for fundamentals of control and mathematical systems theory
	at least 8 ECTS credits for advanced electromagnetic field theory or theoretical information theory
	at least 20 ECTS credits for application-oriented courses

2. In addition, at the time of application, all applicants are obliged to prove that they have taken the Graduate Record Examination (GRE) General Test. The test score must fulfil the minimum requirements according to the current examination regulations. Applicants who are citizens of a member state of the European Union or the European Economic Area (EEA) as well as those with prior educational qualifications from Germany (so-called “Bildungsinländer”) are exempt from this rule.
3. Conditional admissions are possible. In this case, additional study requirements have to be fulfilled.
4. Admission to this Master's programme requires proof of adequate knowledge of the English language (see below).","Admission to this study programme requires proof of adequate knowledge of the English language (TOEFL-iBT 90, IELTS 5.5, or equivalent).
International students who cannot provide proof of German language skills at level B1 or better (according to the CEFR) are obliged to take German language courses as part of their curriculum (equivalent to 8 ECTS credits).
https://bit.ly/3eTKGl8","Non-EU applicants: 1 March for the following winter semester
EU applicants: 15 July for the following winter semester
Non-EU applicants: 1 September for the following summer semester
EU applicants: 15 January for the following summer semester"
