,course,institution,url,admission req,language req,deadline
0,Actuarial and Financial Mathematics,Technische Universität Kaiserslautern,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4722/,Applicants have to hold a qualified BSc degree in Mathematics or Economathematics (equivalent to the correspondent study programmes in Kaiserslautern). Profound knowledge in probability theory and stochastic is required.,"Profound knowledge of the English language (e.g., TOEFL 550 paper-based/ 213 computer-based /80 internet-based)","Winter semester: 30 April<br>
(Early bird admission: 15 November)<br>
Summer semester: 31 October"
1,Applied Economics,University of Wuppertal,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3956/,"A Bachelor's degree in an economics programme that ranks you amongst at least the top 65% of graduates of your cohort. If it is not possible to prove a relative grade, an overall grade (decimal grade) of at least ""2.5"" must be proven. However, the relative grade rather than the decimal grade always counts first!
At least 100 credit points (according to ECTS) of the Bachelor's programme must have been attained in the broader field of economics (e.g. business administration, economics, methods of economics, business informatics, business mathematics, business education). Of these 100 credit points, students must have attained at least 15 credit points in the field of business administration and at least another 15 credit points in the field of economics. Foreign credit point systems will be converted into ECTS.
In addition to a written thesis, at least 6 credit points must have been acquired through one or more term papers or seminar papers that meet scientific standards.","Proof of English language proficiency at a ""C1"" level of the Common European Framework of Reference for Languages (CEFR) or an equivalent recognised language examination (in particular TOEFL, IELTS, Cambridge Certificate) for applicants who are not native English speakers. Proof of sufficient English language skills is not required if the Bachelor's programme, which is a prerequisite for admission to the Master's programme, was entirely taught in the English language.
Proof of German language proficiency at least at an ""A2"" level of the Common European Framework of Reference for Languages (CEFR) is required for applicants who are not native German speakers. If A2 German skills cannot be proven at the time of the application, the applicant may still be accepted on a preliminary basis. Within the first two semesters of the applicant's studies, he or she must acquire the required language skills (A2) and document these skills in the form of a recognised language certificate.
The University of Wuppertal offers <a href=""https://www.uni-wuppertal.de/en/international/international-students/learn-and-improve-german/german-courses-to-prepare-for-studies/"" target=""_blank"" rel=""noreferrer noopener"">German language courses</a>.",Application deadlines:
2,Biological Resources MSc,Rhine-Waal University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4619/,"The minimum admission requirements for this degree programme are:<br>
1) A professionally qualifying first degree encompassing at least 210 total ECTS credit points or a standard period of study of seven full-time semesters in one of the following fields:<br>
a) natural sciences<br>
b) agricultural sciences<br>
c) economics<br><br>
2) A final cumulative grade for the aforementioned first degree of 2.5 or better according to the German grading scale or, alternatively, an ""A"" or a ""B"" on the ECTS grading scale, with a minimum of 10 ECTS in natural sciences, a minimum of 10 ECTS in agricultural or environmental sciences, and a total of 30 ECTS having been acquired in the following areas:<br>
a) mathematics/statistics<br>
b) chemistry<br>
c) biology<br>
d) economics and social sciences<br>
e) environmental sciences / agricultural sciences<br><br>
3) Proof of at least 20 weeks of practical work experience in a position closely tied to natural sciences or environmental sciences, or proof of a completed exchange semester
Please find more information about the admission requirements on our website:&nbsp;<a href=""https://www.hochschule-rhein-waal.de/en/academics/prospective-students/current-application-period/masters-programmes"" target=""_blank"" rel=""noreferrer noopener"">https://www.hochschule-rhein-waal.de/en/academics/prospective-students/current-application-period/masters-programmes</a>","Please note that for this degree programme, English language skills at level B2 according to the Common European Framework of Reference are required. Please be aware that all applicants' test report form numbers will be checked. The following certificates are accepted:
The TOEFL code of our university: 6962","All applicants: 15 July for the following winter semester<br>
All applicants: 15 January for the following summer semester"
3,"Business Administration, Specialisation in Entrepreneurship &amp; Innovation",Catholic University of Eichstätt-Ingolstadt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7005/,"<strong>Prerequisites</strong>
Applicants must have a first qualifying degree in the field of business studies, business administration, economics or a very similar field obtained at a university in Germany or abroad. This is not a MBA, but rather, it is a Master of Science programme.
Proof of prior knowledge in the following:
Each applicant must submit a strong, one-page statement of purpose essay (written either in German or in English) explaining why he/she wants to apply to this specific programme, including how it fits with his/her long-term goals. Specific questions to guide the essay are asked during the application process.
<strong>Number of study places</strong>
With regard to the number of study places for foreign students (non-EU), we can offer international students up to 25 % of the study places. Total number of places: 50
<strong>Documents</strong>
<a href=""https://www.ku.de/fileadmin/1907/Dokumente_degree_seeking/Study_at_the_KU_-_20_questions_and_answers.pdf"" target=""_blank"" rel=""noreferrer noopener"">You can download our <strong>brochure </strong>here</a> with the most frequently asked questions regarding your studies at the KU and in Germany. The brochure includes information regarding the requirements, preparation, financial issues and more.",,"Application periods:
December to January for the following summer semester<br>
April to June for the following winter semester
Application deadlines can be found on the programme website: <a href=""https://www.ku.de/en/study-offer/business-administration-entre-msc"" target=""_blank"" rel=""noreferrer noopener"">https://www.ku.de/en/study-offer/business-administration-entre-msc</a>."
4,Design Leadership (MSc),Technische Hochschule Ingolstadt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8309/,"Proof of Bachelor's degree in design (sciences), engineering sciences, or a degree in another related discipline at a German university with at least 210 ECTS credit points or an equivalent degree of a foreign university
&nbsp;",Proof of English proficiency at level B2 or higher,
5,Economic Behaviour &amp; Governance (EB&amp;Go),University of Kassel,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4395/,"1) Students must hold a Bachelor's degree in Economics, Business Studies or a similar field of study.
2) In their Bachelor's studies, students must have
3) Students must have a good knowledge of the English language (see below).
4) Students who do not fully satisfy the above requirements may be admitted but the admission committee can impose additional requirements which must be fulfilled during the period of study up to completion of the Master's thesis.
Please note in particular: students who acquired only 180 ECTS credits (or equivalent) during their Bachelor's studies can be admitted if they fulfil the language requirements and have profound basic knowledge in economics and its methods. During their Master's studies, they are required to pass additional courses to make up for 30 ECTS credits.","Students must have good knowledge of the English language. Non-native speakers are required to hold an international language certificate at level B2 (CEFR) or equivalent.
<strong>Knowledge of German is&nbsp;not&nbsp;required</strong> for participation in the programme. However, German-speaking students can acquire up to two-thirds of the credits in German.","Students without a German degree:
Students with a German degree:"
6,Economics,University of Bayreuth,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4461/,,"Applicants must prove that their <strong>English</strong> language skills meet at least level B2 according to the Common European Framework of Reference for Languages (CEFR Level B2, IELTS Band 7.0, TOEFL iBT 90, or TOEFL PBT 575; no CET). Applicants must provide proof of basic <strong>German</strong> language skills (CEFR Level A1) within one year after enrolment.","Non-EU applicants: 1 June for the following winter semester; 1 December for the following summer semester
EU applicants: 1 September for the following winter semester; 1 March for the following summer semester
<a href=""https://www.uni-bayreuth.de/en/master/economics#ee393a62"" target=""_blank"" rel=""noreferrer noopener"">https://www.uni-bayreuth.de/en/master/economics#ee393a62</a>"
7,Economics,Heinrich Heine University Düsseldorf,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7757/,,"Sufficient knowledge of the English language must be proven. The following certificates will be accepted:
Bachelor degrees taught in English&nbsp;are not accepted as proof of sufficient English skills unless they are taught in a country in which English is an official language.","Winter semester: 1 June – 15 July
Summer semester: 15 January – 28 February"
8,Economics,Osnabrück University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7960/,"Applicants must have completed a Bachelor’s degree in a relevant subject. For a subject to count as relevant, it must have covered a minimum of 25 ECTS in economics and a minimum of 15 ECTS in methods. Applicants must also demonstrate proficiency in the English language. They are not required to demonstrate proficiency in the German language.
Applicants may apply to the programme before completing their Bachelor’s degree if they provide proof that they have completed at least 150 credit points.
International applicants with foreign certificates must apply via uni-assist.
All applications must include the following documentation:
The module descriptions are particularly important for applicants whose Bachelor's degree is not in core-economics.
Further information, including the admissions regulations in German, can be found on our <a href=""https://www.uni-osnabrueck.de/en/prospective-students/studiengaenge-a-z/economics-volkswirtschaftslehre-master-of-science/"" target=""_blank"" rel=""noreferrer noopener"">course website</a>.",Applicants must demonstrate English proficiency to at least level B2 of the Common European Framework of Reference (CEFR).,"Winter semester: 15 July<br>
Summer semester: 15 January
For the winter semester, application is possible starting around mid-May. For the summer semester, application is possible starting around mid-October."
9,"Economics and Finance, MSc",Rhine-Waal University of Applied Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4226/,"<strong>Specific requirements for Economics and Finance MSc:</strong>
More information on general admission requirements can be found here:<br><a href=""https://www.hochschule-rhein-waal.de/en/academics/prospective-students/current-application-period/admission-requirements"" target=""_blank"" rel=""noreferrer noopener"">https://www.hochschule-rhein-waal.de/en/academics/prospective-students/current-application-period/admission-requirements</a>","Please note that for this degree programme, English language skills at Level B2 are required. Please be aware that all applicants' test report form numbers will be checked.<br>
Please check the university web page for details.<br>
The following certificates are accepted:
The TOEFL code of our university: 6962","All applicants: 15 July for the following winter semester<br>
All applicants: 15 January for the following summer semester"
