,course,institution,url,admission req,language req,deadline
0,Chromatin Dynamics (Integrated Research Training Group IRTG-SFB 1064),Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4481/,"Master's degree (or equivalent) in biological, biophysical, or biochemical sciences",Excellent proficiency in the English language is required. Basic German skills are recommended for off-campus life. Opportunities for German language courses (A-C levels) are available.,"Please see the website for vacancies, calls and application procedures: www.sfb1064.med.uni-muenchen.de"
1,Cognitive Science PhD Programme,Osnabrück University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3615/,"A Master's degree (or equivalent) in cognitive science or in a comparable subject is required. This must include undergraduate qualifications in two of the following disciplines: artificial intelligence, biology, computer science, (computational) linguistics, neuroscience, philosophy or psychology.
Application documents are specified on our website.
Candidates will be selected by the selection committee based upon their academic achievements as well as the scientific quality of their research proposal. The committee may invite candidates for an interview.
Applicants whose previous education does not provide a sufficient basis for entering the PhD programme are advised to enter the Master's programme first. Excellent Master's students may be admitted to the PhD programme after one year.",Applicants must have a good knowledge of English.,"1 April (winter semester)
	1 October (summer semester)

The application documents are specified on the programme website."
2,Dresden International Graduate School for Biomedicine and Bioengineering (DIGS-BB),Technische Universität Dresden,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3834/,"We welcome applications from ambitious, highly qualified and motivated students of all nationalities. We expect excellent academic performance and prior research experience, along with the potential and enthusiasm to conduct challenging, top-class research towards a PhD.
Applicants must hold, or anticipate receiving before taking up thesis work, a Master’s degree in a relevant discipline: life sciences, natural sciences, bioengineering, material science, medicine, computer science, physics/biophysics or applied mathematics.","The language of the programme is English. Therefore, a high proficiency in English is required. A formal proof is not obligatory. However, TOEFL or IELTS results and GRE examination results can be uploaded within the online application system.","Applications are accepted all year round via an online application system. For 2022/2023 applications, please check our website for updates: www.digs-bb.de/phd."
3,German-French Graduate College Statistical Physics of Complex Systems in Equilibrium and Non-Equilibrium,Leipzig University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4152/,"Typically, a Master's or ""Diplom"" degree in natural sciences",Knowledge of English,No specific deadlines
4,GGNB International Max Planck Research School for Genome Science (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4781/,"Master's degree or equivalent in the life sciences, mathematics, computer sciences, statistics, biophysics, or a related field","Applicants whose native language is not English are asked to submit proof of proficiency in English. If no English test is available, proficiency in English can be evaluated during a personal interview. Proven higher education in English or a reasonably long stay in an English-speaking country may also be acceptable forms of proof.",Please see the details on our website.
5,GGNB Theoretical and Computational Neuroscience (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3936/,"Master's degree or equivalent in physics, the life sciences, computer science, or a related discipline","Applicants whose native language is not English are asked to submit proof of proficiency in English. If no English test is available, proficiency in English can be evaluated during a personal interview. Proven higher education in English or a reasonably long stay in an English speaking country may also be accepted.",Application is possible independent of deadlines.
6,Graduate School for Geoinformatics,University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4406/,"The formal requirement is a Master's degree. The graduate school hosts doctoral researchers from various backgrounds, such as geoinformatics, computer science, geography, ecology, mathematics, and information systems.",Applicants must provide proof of their English skills: TOEFL 550 (paper-based) or equivalent.,https://www.uni-muenster.de/Geoinformatics/en/Studies/study_programs/PhD/application/index.html
7,"iGRAD-Plant: Network, Exchange, and Training Programme to Understand Plant Resource Allocation (NEXTplant)",Heinrich Heine University Düsseldorf,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4093/,"(i) A Bachelor's degree in biology, biochemistry, bioinformatics or a related specialisation completed with a final mark of 1.5 or better (or equivalent for international applicants); in addition, applicants holding a Master's or equivalent degree rated with 1.5 or better will also be considered.
(ii) Fluency in the English language
(iii) Strong dedication to research at an early stage of the career is expected as demonstrated by support letters of previous supervisors or other evidence such as undergraduate research awards and participation in conferences and workshops
(iv) Previous experience in an international context, such as participation in a study abroad programme or similar is desirable.
(v) The ability to communicate science in speaking and writing as demonstrated by a written statement of purpose accompanying the application and, if selected for an interview, a presentation of previous work in the form of a seminar to be held in the English language
(vi) Applicants holding a Bachelor's degree should not be older than 24 and applicants holding a Master's or ""Diplom"" degree should not be older than 26. These requirements will be adjusted if the applicant spent time parenting during undergraduate studies or if studies abroad contributed to a longer study period.","Fluency in the English language, as demonstrated by high scores in the IELTS or TOEFL tests or by certificates from a previous supervisor, is required.",Applications are considered all year round.
8,International Graduate School for Dynamics in Logistics (IGS),University of Bremen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4106/,"The IGS addresses early-stage researchers from all over the world who hold a Master's degree equal to a German university level degree (""Master"" or ""Diplom"", with thesis) in one of the following fields:
Production Engineering
	Industrial Engineering
	Economics
	Electrical Engineering
	Physics
	Computer Science
	Mathematics
	Law

The applicant must have graduated with exceptionally good marks. The decisive element of the application is the preliminary research proposal, which should describe a research question, research methods and literature references. A research plan is mandatory as well. Application documents will be evaluated with regard to the applicant's qualification for doctoral studies at the University of Bremen. Additionally, the proposed topic should fit the research spectrum of LogDynamics.
The complete application guideline is available online at http://www.logistics-gs.uni-bremen.de/173.html?&L=1.","Candidates should have a very good command of English and be familiar with basic German.
Minimum requirements (English):
TOEFL: 600 points on the written TOEFL, 250 on the computer-based TOEFL and 95 on the TOEFL iBT. All of them are to be supplemented by results of the Test of Written English (academic TWE). The minimum required score is 5.0.
IELTS: Band 7.0, with a minimum of 6.0 for each (academic) module
Note: Test results may not be older than 24 months.
Candidates who obtained a degree of higher education in an English-speaking country are not required to present test results.",It is possible to apply at any time.
9,International Max Planck Research School (IMPRS) on Understanding Complex Plant Traits Using Computational and Evolutionary Approaches,Max Planck Institute for Plant Breeding Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3909/,Applicants must hold a Master's degree in order to be admitted by the University of Cologne.,"An essential characteristic of the IMPRS is that students from all countries can apply. Thus, the entire programme is in English, including all of the lectures and training courses. Therefore, a high proficiency in English as a second language is required for enrolment in the programme.",There is one application call per year. Details on the timeline can be found on our website.
